group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day01_part1,Parse_string_dynamically,,,,958592.0,ns,315
day01_part1,Parse_string_dynamically,,,,4768604.0,ns,630
day01_part1,Parse_string_dynamically,,,,6228087.0,ns,945
day01_part1,Parse_string_dynamically,,,,6941020.0,ns,1260
day01_part1,Parse_string_dynamically,,,,5016710.0,ns,1575
day01_part1,Parse_string_dynamically,,,,6116358.0,ns,1890
day01_part1,Parse_string_dynamically,,,,6484197.0,ns,2205
day01_part1,Parse_string_dynamically,,,,8319114.0,ns,2520
day01_part1,Parse_string_dynamically,,,,8815715.0,ns,2835
day01_part1,Parse_string_dynamically,,,,9602737.0,ns,3150
day01_part1,Parse_string_dynamically,,,,10312552.0,ns,3465
day01_part1,Parse_string_dynamically,,,,11207148.0,ns,3780
day01_part1,Parse_string_dynamically,,,,12389056.0,ns,4095
day01_part1,Parse_string_dynamically,,,,13242470.0,ns,4410
day01_part1,Parse_string_dynamically,,,,13991346.0,ns,4725
day01_part1,Parse_string_dynamically,,,,15313507.0,ns,5040
day01_part1,Parse_string_dynamically,,,,16250845.0,ns,5355
day01_part1,Parse_string_dynamically,,,,17410881.0,ns,5670
day01_part1,Parse_string_dynamically,,,,19540743.0,ns,5985
day01_part1,Parse_string_dynamically,,,,18756716.0,ns,6300
day01_part1,Parse_string_dynamically,,,,19752811.0,ns,6615
day01_part1,Parse_string_dynamically,,,,21330270.0,ns,6930
day01_part1,Parse_string_dynamically,,,,21365544.0,ns,7245
day01_part1,Parse_string_dynamically,,,,22370969.0,ns,7560
day01_part1,Parse_string_dynamically,,,,23132193.0,ns,7875
day01_part1,Parse_string_dynamically,,,,24123392.0,ns,8190
day01_part1,Parse_string_dynamically,,,,25585537.0,ns,8505
day01_part1,Parse_string_dynamically,,,,27224348.0,ns,8820
day01_part1,Parse_string_dynamically,,,,27135061.0,ns,9135
day01_part1,Parse_string_dynamically,,,,28543605.0,ns,9450
day01_part1,Parse_string_dynamically,,,,28880109.0,ns,9765
day01_part1,Parse_string_dynamically,,,,30711624.0,ns,10080
day01_part1,Parse_string_dynamically,,,,32863309.0,ns,10395
day01_part1,Parse_string_dynamically,,,,32979561.0,ns,10710
day01_part1,Parse_string_dynamically,,,,33321615.0,ns,11025
day01_part1,Parse_string_dynamically,,,,40749125.0,ns,11340
day01_part1,Parse_string_dynamically,,,,39136259.0,ns,11655
day01_part1,Parse_string_dynamically,,,,36769344.0,ns,11970
day01_part1,Parse_string_dynamically,,,,38356334.0,ns,12285
day01_part1,Parse_string_dynamically,,,,37564558.0,ns,12600
