group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day01_part2,Parse_string_dynamically,,,,1009644.0,ns,223
day01_part2,Parse_string_dynamically,,,,2668179.0,ns,446
day01_part2,Parse_string_dynamically,,,,7854352.0,ns,669
day01_part2,Parse_string_dynamically,,,,4801166.0,ns,892
day01_part2,Parse_string_dynamically,,,,4982497.0,ns,1115
day01_part2,Parse_string_dynamically,,,,5915033.0,ns,1338
day01_part2,Parse_string_dynamically,,,,7534047.0,ns,1561
day01_part2,Parse_string_dynamically,,,,7756070.0,ns,1784
day01_part2,Parse_string_dynamically,,,,8726241.0,ns,2007
day01_part2,Parse_string_dynamically,,,,9617673.0,ns,2230
day01_part2,Parse_string_dynamically,,,,10703458.0,ns,2453
day01_part2,Parse_string_dynamically,,,,11702423.0,ns,2676
day01_part2,Parse_string_dynamically,,,,12747871.0,ns,2899
day01_part2,Parse_string_dynamically,,,,13549470.0,ns,3122
day01_part2,Parse_string_dynamically,,,,14516699.0,ns,3345
day01_part2,Parse_string_dynamically,,,,15308914.0,ns,3568
day01_part2,Parse_string_dynamically,,,,16217705.0,ns,3791
day01_part2,Parse_string_dynamically,,,,20009500.0,ns,4014
day01_part2,Parse_string_dynamically,,,,18765351.0,ns,4237
day01_part2,Parse_string_dynamically,,,,19571843.0,ns,4460
day01_part2,Parse_string_dynamically,,,,20382444.0,ns,4683
day01_part2,Parse_string_dynamically,,,,21677817.0,ns,4906
day01_part2,Parse_string_dynamically,,,,22170850.0,ns,5129
day01_part2,Parse_string_dynamically,,,,22919786.0,ns,5352
day01_part2,Parse_string_dynamically,,,,25977707.0,ns,5575
day01_part2,Parse_string_dynamically,,,,27725884.0,ns,5798
day01_part2,Parse_string_dynamically,,,,25912122.0,ns,6021
day01_part2,Parse_string_dynamically,,,,26814495.0,ns,6244
day01_part2,Parse_string_dynamically,,,,27872546.0,ns,6467
day01_part2,Parse_string_dynamically,,,,29523698.0,ns,6690
day01_part2,Parse_string_dynamically,,,,30162119.0,ns,6913
day01_part2,Parse_string_dynamically,,,,33026752.0,ns,7136
day01_part2,Parse_string_dynamically,,,,33327352.0,ns,7359
day01_part2,Parse_string_dynamically,,,,33678658.0,ns,7582
day01_part2,Parse_string_dynamically,,,,34050899.0,ns,7805
day01_part2,Parse_string_dynamically,,,,34736731.0,ns,8028
