group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day02_part1,Parse_string_dynamically,,,,993338.0,ns,301328
day02_part1,Parse_string_dynamically,,,,3676858.0,ns,602656
day02_part1,Parse_string_dynamically,,,,6488189.0,ns,903984
day02_part1,Parse_string_dynamically,,,,4508848.0,ns,1205312
day02_part1,Parse_string_dynamically,,,,4952430.0,ns,1506640
day02_part1,Parse_string_dynamically,,,,5648503.0,ns,1807968
day02_part1,Parse_string_dynamically,,,,7816307.0,ns,2109296
day02_part1,Parse_string_dynamically,,,,7963306.0,ns,2410624
day02_part1,Parse_string_dynamically,,,,9837235.0,ns,2711952
day02_part1,Parse_string_dynamically,,,,9551674.0,ns,3013280
day02_part1,Parse_string_dynamically,,,,10908845.0,ns,3314608
day02_part1,Parse_string_dynamically,,,,11344855.0,ns,3615936
day02_part1,Parse_string_dynamically,,,,12316191.0,ns,3917264
day02_part1,Parse_string_dynamically,,,,13356015.0,ns,4218592
day02_part1,Parse_string_dynamically,,,,14520299.0,ns,4519920
day02_part1,Parse_string_dynamically,,,,15017795.0,ns,4821248
day02_part1,Parse_string_dynamically,,,,16176401.0,ns,5122576
day02_part1,Parse_string_dynamically,,,,19008146.0,ns,5423904
day02_part1,Parse_string_dynamically,,,,18324639.0,ns,5725232
day02_part1,Parse_string_dynamically,,,,19904702.0,ns,6026560
day02_part1,Parse_string_dynamically,,,,20237427.0,ns,6327888
day02_part1,Parse_string_dynamically,,,,20915477.0,ns,6629216
day02_part1,Parse_string_dynamically,,,,22381779.0,ns,6930544
day02_part1,Parse_string_dynamically,,,,22671186.0,ns,7231872
day02_part1,Parse_string_dynamically,,,,23978443.0,ns,7533200
day02_part1,Parse_string_dynamically,,,,24868245.0,ns,7834528
day02_part1,Parse_string_dynamically,,,,25853026.0,ns,8135856
day02_part1,Parse_string_dynamically,,,,27078285.0,ns,8437184
day02_part1,Parse_string_dynamically,,,,27451847.0,ns,8738512
day02_part1,Parse_string_dynamically,,,,28410088.0,ns,9039840
day02_part1,Parse_string_dynamically,,,,29381261.0,ns,9341168
day02_part1,Parse_string_dynamically,,,,30236734.0,ns,9642496
day02_part1,Parse_string_dynamically,,,,32165712.0,ns,9943824
day02_part1,Parse_string_dynamically,,,,33932343.0,ns,10245152
day02_part1,Parse_string_dynamically,,,,33963810.0,ns,10546480
day02_part1,Parse_string_dynamically,,,,35447074.0,ns,10847808
day02_part1,Parse_string_dynamically,,,,34945375.0,ns,11149136
day02_part1,Parse_string_dynamically,,,,35877619.0,ns,11450464
day02_part1,Parse_string_dynamically,,,,37004516.0,ns,11751792
day02_part1,Parse_string_dynamically,,,,37850748.0,ns,12053120
