group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day06_part1,Walk_tree_DFS,,,,14054548.0,ns,1
day06_part1,Walk_tree_DFS,,,,16352961.0,ns,2
day06_part1,Walk_tree_DFS,,,,19631002.0,ns,3
day06_part1,Walk_tree_DFS,,,,24866680.0,ns,4
day06_part1,Walk_tree_DFS,,,,31200959.0,ns,5
day06_part1,Walk_tree_DFS,,,,39334701.0,ns,6
day06_part1,Walk_tree_DFS,,,,63083263.0,ns,7
day06_part1,Walk_tree_DFS,,,,58530791.0,ns,8
day06_part1,Walk_tree_DFS,,,,56067080.0,ns,9
day06_part1,Walk_tree_DFS,,,,62082567.0,ns,10
day06_part1,Walk_tree_DFS,,,,68530352.0,ns,11
day06_part1,Walk_tree_DFS,,,,85043468.0,ns,12
day06_part1,Walk_tree_DFS,,,,89277044.0,ns,13
day06_part1,Walk_tree_DFS,,,,97656969.0,ns,14
day06_part1,Walk_tree_DFS,,,,99087395.0,ns,15
day06_part1,Walk_tree_DFS,,,,99117826.0,ns,16
day06_part1,Walk_tree_DFS,,,,110080487.0,ns,17
day06_part1,Walk_tree_DFS,,,,117020360.0,ns,18
day06_part1,Walk_tree_DFS,,,,125959525.0,ns,19
day06_part1,Walk_tree_DFS,,,,126325069.0,ns,20
day06_part1,Walk_tree_DFS,,,,130077117.0,ns,21
day06_part1,Walk_tree_DFS,,,,138020008.0,ns,22
day06_part1,Walk_tree_DFS,,,,145040103.0,ns,23
day06_part1,Walk_tree_DFS,,,,151295366.0,ns,24
day06_part1,Walk_tree_DFS,,,,164588714.0,ns,25
day06_part1,Walk_tree_DFS,,,,171696352.0,ns,26
day06_part1,Walk_tree_DFS,,,,208457277.0,ns,27
day06_part1,Walk_tree_DFS,,,,180312284.0,ns,28
day06_part1,Walk_tree_DFS,,,,191423077.0,ns,29
day06_part1,Walk_tree_DFS,,,,200647872.0,ns,30
day06_part1,Walk_tree_DFS,,,,203507021.0,ns,31
day06_part1,Walk_tree_DFS,,,,198204273.0,ns,32
day06_part1,Walk_tree_DFS,,,,207349293.0,ns,33
day06_part1,Walk_tree_DFS,,,,213967040.0,ns,34
day06_part1,Walk_tree_DFS,,,,232765230.0,ns,35
day06_part1,Walk_tree_DFS,,,,232213712.0,ns,36
day06_part1,Walk_tree_DFS,,,,229674597.0,ns,37
day06_part1,Walk_tree_DFS,,,,237845488.0,ns,38
day06_part1,Walk_tree_DFS,,,,243969102.0,ns,39
day06_part1,Walk_tree_DFS,,,,267665167.0,ns,40
day06_part1,Walk_tree_DFS,,,,253750684.0,ns,41
day06_part1,Walk_tree_DFS,,,,302391442.0,ns,42
day06_part1,Walk_tree_DFS,,,,271338604.0,ns,43
day06_part1,Walk_tree_DFS,,,,278873781.0,ns,44
day06_part1,Walk_tree_DFS,,,,304791811.0,ns,45
day06_part1,Walk_tree_DFS,,,,306583307.0,ns,46
day06_part1,Walk_tree_DFS,,,,319274411.0,ns,47
day06_part1,Walk_tree_DFS,,,,309787131.0,ns,48
day06_part1,Walk_tree_DFS,,,,309026197.0,ns,49
day06_part1,Walk_tree_DFS,,,,318748300.0,ns,50
day06_part1,Walk_tree_DFS,,,,315376780.0,ns,51
day06_part1,Walk_tree_DFS,,,,329114375.0,ns,52
day06_part1,Walk_tree_DFS,,,,337391634.0,ns,53
day06_part1,Walk_tree_DFS,,,,335197886.0,ns,54
day06_part1,Walk_tree_DFS,,,,359055892.0,ns,55
day06_part1,Walk_tree_DFS,,,,363906601.0,ns,56
day06_part1,Walk_tree_DFS,,,,352432697.0,ns,57
day06_part1,Walk_tree_DFS,,,,367196412.0,ns,58
day06_part1,Walk_tree_DFS,,,,391559305.0,ns,59
day06_part1,Walk_tree_DFS,,,,390569462.0,ns,60
day06_part1,Walk_tree_DFS,,,,410023783.0,ns,61
day06_part1,Walk_tree_DFS,,,,612188572.0,ns,62
day06_part1,Walk_tree_DFS,,,,420016803.0,ns,63
day06_part1,Walk_tree_DFS,,,,411739323.0,ns,64
day06_part1,Walk_tree_DFS,,,,418468943.0,ns,65
day06_part1,Walk_tree_DFS,,,,428976888.0,ns,66
day06_part1,Walk_tree_DFS,,,,428753580.0,ns,67
day06_part1,Walk_tree_DFS,,,,440433280.0,ns,68
day06_part1,Walk_tree_DFS,,,,440219594.0,ns,69
day06_part1,Walk_tree_DFS,,,,459127933.0,ns,70
day06_part1,Walk_tree_DFS,,,,465009880.0,ns,71
day06_part1,Walk_tree_DFS,,,,491819184.0,ns,72
day06_part1,Walk_tree_DFS,,,,454042475.0,ns,73
day06_part1,Walk_tree_DFS,,,,467755784.0,ns,74
day06_part1,Walk_tree_DFS,,,,467835764.0,ns,75
day06_part1,Walk_tree_DFS,,,,489065324.0,ns,76
day06_part1,Walk_tree_DFS,,,,483250873.0,ns,77
day06_part1,Walk_tree_DFS,,,,490561168.0,ns,78
day06_part1,Walk_tree_DFS,,,,497710386.0,ns,79
day06_part1,Walk_tree_DFS,,,,504533377.0,ns,80
day06_part1,Walk_tree_DFS,,,,516522996.0,ns,81
day06_part1,Walk_tree_DFS,,,,533651629.0,ns,82
day06_part1,Walk_tree_DFS,,,,524227142.0,ns,83
day06_part1,Walk_tree_DFS,,,,532846416.0,ns,84
day06_part1,Walk_tree_DFS,,,,533996014.0,ns,85
day06_part1,Walk_tree_DFS,,,,551259207.0,ns,86
day06_part1,Walk_tree_DFS,,,,543881078.0,ns,87
day06_part1,Walk_tree_DFS,,,,588313300.0,ns,88
day06_part1,Walk_tree_DFS,,,,555114576.0,ns,89
day06_part1,Walk_tree_DFS,,,,586896087.0,ns,90
day06_part1,Walk_tree_DFS,,,,630624552.0,ns,91
day06_part1,Walk_tree_DFS,,,,589659999.0,ns,92
day06_part1,Walk_tree_DFS,,,,589125363.0,ns,93
day06_part1,Walk_tree_DFS,,,,590344426.0,ns,94
day06_part1,Walk_tree_DFS,,,,599971199.0,ns,95
day06_part1,Walk_tree_DFS,,,,604706452.0,ns,96
day06_part1,Walk_tree_DFS,,,,606353119.0,ns,97
day06_part1,Walk_tree_DFS,,,,621276018.0,ns,98
day06_part1,Walk_tree_DFS,,,,616281936.0,ns,99
day06_part1,Walk_tree_DFS,,,,656243539.0,ns,100
