group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day06_part2,Walk_tree_DFS,,,,1413334.0,ns,3
day06_part2,Walk_tree_DFS,,,,3508757.0,ns,6
day06_part2,Walk_tree_DFS,,,,9394397.0,ns,9
day06_part2,Walk_tree_DFS,,,,5044453.0,ns,12
day06_part2,Walk_tree_DFS,,,,5259857.0,ns,15
day06_part2,Walk_tree_DFS,,,,7389831.0,ns,18
day06_part2,Walk_tree_DFS,,,,7864635.0,ns,21
day06_part2,Walk_tree_DFS,,,,9764107.0,ns,24
day06_part2,Walk_tree_DFS,,,,9508440.0,ns,27
day06_part2,Walk_tree_DFS,,,,10448886.0,ns,30
day06_part2,Walk_tree_DFS,,,,11418941.0,ns,33
day06_part2,Walk_tree_DFS,,,,12558854.0,ns,36
day06_part2,Walk_tree_DFS,,,,13984321.0,ns,39
day06_part2,Walk_tree_DFS,,,,15776053.0,ns,42
day06_part2,Walk_tree_DFS,,,,16896400.0,ns,45
day06_part2,Walk_tree_DFS,,,,18134950.0,ns,48
day06_part2,Walk_tree_DFS,,,,18425122.0,ns,51
day06_part2,Walk_tree_DFS,,,,21793513.0,ns,54
day06_part2,Walk_tree_DFS,,,,22678906.0,ns,57
day06_part2,Walk_tree_DFS,,,,20967620.0,ns,60
day06_part2,Walk_tree_DFS,,,,22270015.0,ns,63
day06_part2,Walk_tree_DFS,,,,22799956.0,ns,66
day06_part2,Walk_tree_DFS,,,,25285404.0,ns,69
day06_part2,Walk_tree_DFS,,,,24511694.0,ns,72
day06_part2,Walk_tree_DFS,,,,27051528.0,ns,75
day06_part2,Walk_tree_DFS,,,,27373639.0,ns,78
day06_part2,Walk_tree_DFS,,,,29393908.0,ns,81
day06_part2,Walk_tree_DFS,,,,29219496.0,ns,84
day06_part2,Walk_tree_DFS,,,,30490817.0,ns,87
day06_part2,Walk_tree_DFS,,,,31643187.0,ns,90
day06_part2,Walk_tree_DFS,,,,34296805.0,ns,93
day06_part2,Walk_tree_DFS,,,,36570162.0,ns,96
day06_part2,Walk_tree_DFS,,,,35196826.0,ns,99
day06_part2,Walk_tree_DFS,,,,35340425.0,ns,102
day06_part2,Walk_tree_DFS,,,,36373746.0,ns,105
day06_part2,Walk_tree_DFS,,,,40052739.0,ns,108
day06_part2,Walk_tree_DFS,,,,38969045.0,ns,111
day06_part2,Walk_tree_DFS,,,,40952752.0,ns,114
day06_part2,Walk_tree_DFS,,,,42940565.0,ns,117
day06_part2,Walk_tree_DFS,,,,41189918.0,ns,120
day06_part2,Walk_tree_DFS,,,,42499275.0,ns,123
day06_part2,Walk_tree_DFS,,,,43479390.0,ns,126
day06_part2,Walk_tree_DFS,,,,45174732.0,ns,129
day06_part2,Walk_tree_DFS,,,,46821282.0,ns,132
day06_part2,Walk_tree_DFS,,,,48952926.0,ns,135
day06_part2,Walk_tree_DFS,,,,51025048.0,ns,138
day06_part2,Walk_tree_DFS,,,,55839699.0,ns,141
day06_part2,Walk_tree_DFS,,,,50172612.0,ns,144
day06_part2,Walk_tree_DFS,,,,52067213.0,ns,147
day06_part2,Walk_tree_DFS,,,,52803391.0,ns,150
day06_part2,Walk_tree_DFS,,,,53354258.0,ns,153
day06_part2,Walk_tree_DFS,,,,54276888.0,ns,156
day06_part2,Walk_tree_DFS,,,,63031981.0,ns,159
day06_part2,Walk_tree_DFS,,,,58595436.0,ns,162
day06_part2,Walk_tree_DFS,,,,61247078.0,ns,165
day06_part2,Walk_tree_DFS,,,,63154232.0,ns,168
day06_part2,Walk_tree_DFS,,,,61892303.0,ns,171
day06_part2,Walk_tree_DFS,,,,63304733.0,ns,174
day06_part2,Walk_tree_DFS,,,,62753202.0,ns,177
day06_part2,Walk_tree_DFS,,,,65558164.0,ns,180
day06_part2,Walk_tree_DFS,,,,66858932.0,ns,183
day06_part2,Walk_tree_DFS,,,,82243230.0,ns,186
day06_part2,Walk_tree_DFS,,,,78343439.0,ns,189
day06_part2,Walk_tree_DFS,,,,70553282.0,ns,192
