group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day06_part1,Compare_paths_to_root,,,,17331507.0,ns,1
day06_part1,Compare_paths_to_root,,,,14551819.0,ns,2
day06_part1,Compare_paths_to_root,,,,19244737.0,ns,3
day06_part1,Compare_paths_to_root,,,,25167333.0,ns,4
day06_part1,Compare_paths_to_root,,,,31326305.0,ns,5
day06_part1,Compare_paths_to_root,,,,37384748.0,ns,6
day06_part1,Compare_paths_to_root,,,,44352348.0,ns,7
day06_part1,Compare_paths_to_root,,,,50569227.0,ns,8
day06_part1,Compare_paths_to_root,,,,58814384.0,ns,9
day06_part1,Compare_paths_to_root,,,,65991840.0,ns,10
day06_part1,Compare_paths_to_root,,,,69615274.0,ns,11
day06_part1,Compare_paths_to_root,,,,76286002.0,ns,12
day06_part1,Compare_paths_to_root,,,,81144790.0,ns,13
day06_part1,Compare_paths_to_root,,,,85726029.0,ns,14
day06_part1,Compare_paths_to_root,,,,94586128.0,ns,15
day06_part1,Compare_paths_to_root,,,,99970630.0,ns,16
day06_part1,Compare_paths_to_root,,,,107575457.0,ns,17
day06_part1,Compare_paths_to_root,,,,112537563.0,ns,18
day06_part1,Compare_paths_to_root,,,,118848077.0,ns,19
day06_part1,Compare_paths_to_root,,,,132282511.0,ns,20
day06_part1,Compare_paths_to_root,,,,133527885.0,ns,21
day06_part1,Compare_paths_to_root,,,,136963124.0,ns,22
day06_part1,Compare_paths_to_root,,,,146817512.0,ns,23
day06_part1,Compare_paths_to_root,,,,155222463.0,ns,24
day06_part1,Compare_paths_to_root,,,,159994764.0,ns,25
day06_part1,Compare_paths_to_root,,,,165550970.0,ns,26
day06_part1,Compare_paths_to_root,,,,176062016.0,ns,27
day06_part1,Compare_paths_to_root,,,,177061486.0,ns,28
day06_part1,Compare_paths_to_root,,,,180925309.0,ns,29
day06_part1,Compare_paths_to_root,,,,190258456.0,ns,30
day06_part1,Compare_paths_to_root,,,,198188133.0,ns,31
day06_part1,Compare_paths_to_root,,,,204977934.0,ns,32
day06_part1,Compare_paths_to_root,,,,208081503.0,ns,33
day06_part1,Compare_paths_to_root,,,,210321742.0,ns,34
day06_part1,Compare_paths_to_root,,,,220561694.0,ns,35
day06_part1,Compare_paths_to_root,,,,229703559.0,ns,36
day06_part1,Compare_paths_to_root,,,,245765650.0,ns,37
day06_part1,Compare_paths_to_root,,,,236533930.0,ns,38
day06_part1,Compare_paths_to_root,,,,245173873.0,ns,39
day06_part1,Compare_paths_to_root,,,,252493436.0,ns,40
day06_part1,Compare_paths_to_root,,,,260395871.0,ns,41
day06_part1,Compare_paths_to_root,,,,259013661.0,ns,42
day06_part1,Compare_paths_to_root,,,,269197956.0,ns,43
day06_part1,Compare_paths_to_root,,,,276664964.0,ns,44
day06_part1,Compare_paths_to_root,,,,283057097.0,ns,45
day06_part1,Compare_paths_to_root,,,,287837146.0,ns,46
day06_part1,Compare_paths_to_root,,,,294628820.0,ns,47
day06_part1,Compare_paths_to_root,,,,306207949.0,ns,48
day06_part1,Compare_paths_to_root,,,,304165332.0,ns,49
day06_part1,Compare_paths_to_root,,,,319041682.0,ns,50
day06_part1,Compare_paths_to_root,,,,323623798.0,ns,51
day06_part1,Compare_paths_to_root,,,,324500619.0,ns,52
day06_part1,Compare_paths_to_root,,,,330102081.0,ns,53
day06_part1,Compare_paths_to_root,,,,350561365.0,ns,54
day06_part1,Compare_paths_to_root,,,,340921754.0,ns,55
day06_part1,Compare_paths_to_root,,,,349631802.0,ns,56
day06_part1,Compare_paths_to_root,,,,359840875.0,ns,57
day06_part1,Compare_paths_to_root,,,,360154998.0,ns,58
day06_part1,Compare_paths_to_root,,,,369694495.0,ns,59
day06_part1,Compare_paths_to_root,,,,408333135.0,ns,60
day06_part1,Compare_paths_to_root,,,,380229052.0,ns,61
day06_part1,Compare_paths_to_root,,,,395103164.0,ns,62
