group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day06_part2,Compare_paths_to_root,,,,1067242.0,ns,48
day06_part2,Compare_paths_to_root,,,,5083936.0,ns,96
day06_part2,Compare_paths_to_root,,,,7840452.0,ns,144
day06_part2,Compare_paths_to_root,,,,5262525.0,ns,192
day06_part2,Compare_paths_to_root,,,,9637488.0,ns,240
day06_part2,Compare_paths_to_root,,,,6856862.0,ns,288
day06_part2,Compare_paths_to_root,,,,8139859.0,ns,336
day06_part2,Compare_paths_to_root,,,,8425759.0,ns,384
day06_part2,Compare_paths_to_root,,,,8771953.0,ns,432
day06_part2,Compare_paths_to_root,,,,11602986.0,ns,480
day06_part2,Compare_paths_to_root,,,,12147714.0,ns,528
day06_part2,Compare_paths_to_root,,,,11986457.0,ns,576
day06_part2,Compare_paths_to_root,,,,12944562.0,ns,624
day06_part2,Compare_paths_to_root,,,,14206376.0,ns,672
day06_part2,Compare_paths_to_root,,,,15222151.0,ns,720
day06_part2,Compare_paths_to_root,,,,15856699.0,ns,768
day06_part2,Compare_paths_to_root,,,,17542487.0,ns,816
day06_part2,Compare_paths_to_root,,,,17883830.0,ns,864
day06_part2,Compare_paths_to_root,,,,18713521.0,ns,912
day06_part2,Compare_paths_to_root,,,,19802854.0,ns,960
day06_part2,Compare_paths_to_root,,,,22855039.0,ns,1008
day06_part2,Compare_paths_to_root,,,,23290165.0,ns,1056
day06_part2,Compare_paths_to_root,,,,23401275.0,ns,1104
day06_part2,Compare_paths_to_root,,,,23500905.0,ns,1152
day06_part2,Compare_paths_to_root,,,,24473038.0,ns,1200
day06_part2,Compare_paths_to_root,,,,26191836.0,ns,1248
day06_part2,Compare_paths_to_root,,,,26827292.0,ns,1296
day06_part2,Compare_paths_to_root,,,,27510231.0,ns,1344
day06_part2,Compare_paths_to_root,,,,29727319.0,ns,1392
day06_part2,Compare_paths_to_root,,,,29519051.0,ns,1440
day06_part2,Compare_paths_to_root,,,,30534356.0,ns,1488
day06_part2,Compare_paths_to_root,,,,36625527.0,ns,1536
day06_part2,Compare_paths_to_root,,,,34880199.0,ns,1584
day06_part2,Compare_paths_to_root,,,,35244479.0,ns,1632
day06_part2,Compare_paths_to_root,,,,36664688.0,ns,1680
day06_part2,Compare_paths_to_root,,,,35768453.0,ns,1728
day06_part2,Compare_paths_to_root,,,,36728495.0,ns,1776
day06_part2,Compare_paths_to_root,,,,37618770.0,ns,1824
day06_part2,Compare_paths_to_root,,,,39593316.0,ns,1872
day06_part2,Compare_paths_to_root,,,,41142411.0,ns,1920
day06_part2,Compare_paths_to_root,,,,40046869.0,ns,1968
day06_part2,Compare_paths_to_root,,,,41045668.0,ns,2016
day06_part2,Compare_paths_to_root,,,,42322447.0,ns,2064
day06_part2,Compare_paths_to_root,,,,43611258.0,ns,2112
day06_part2,Compare_paths_to_root,,,,46789171.0,ns,2160
day06_part2,Compare_paths_to_root,,,,47236203.0,ns,2208
day06_part2,Compare_paths_to_root,,,,46419113.0,ns,2256
day06_part2,Compare_paths_to_root,,,,48186752.0,ns,2304
day06_part2,Compare_paths_to_root,,,,50472369.0,ns,2352
day06_part2,Compare_paths_to_root,,,,49681438.0,ns,2400
day06_part2,Compare_paths_to_root,,,,49987655.0,ns,2448
day06_part2,Compare_paths_to_root,,,,50693860.0,ns,2496
day06_part2,Compare_paths_to_root,,,,51714230.0,ns,2544
